,kernel,C,epsilon,gamma,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
38,rbf,10,0.0001,scale,2,"['rdvi_skewness', 'tex_dis_cv_1']",0.8028017424120373,0.09426933636243873,0.8594482724099831,0.08439974466994964,0.8587026399028743
70,rbf,100,0.0001,scale,2,"['rdvi_skewness', 'tex_dis_cv_1']",0.8080456758960795,0.09300747689690497,0.858472367324621,0.08469224786665497,0.8577215576022051
78,rbf,100,0.001,scale,2,"['rdvi_skewness', 'tex_dis_cv_1']",0.8081877343871795,0.09297305478289428,0.8582508540815841,0.08475850036836176,0.8574988692226004
37,rbf,10,0.0001,scale,3,"['rdvi_skewness', 'tex_homo_kurtosis_4', 'tex_dis_cv_1']",0.8449029729919613,0.08360276664071296,0.8569920919881773,0.08513400518503653,0.8558510714455297
45,rbf,10,0.001,scale,3,"['rdvi_skewness', 'tex_homo_kurtosis_4', 'tex_dis_cv_1']",0.8458503944189623,0.08334702871532652,0.8566850080356501,0.08522536120760812,0.8555415373550834
53,rbf,10,0.01,scale,3,"['rdvi_skewness', 'tex_homo_kurtosis_4', 'tex_dis_cv_1']",0.8496148721585122,0.08232303208390379,0.851081901423988,0.08687539253972591,0.8498937251055624
22,rbf,1,0.01,scale,2,"['rdvi_skewness', 'tex_mean_q3_1']",0.7729619230053545,0.10115055334979765,0.8336101687950643,0.09183039011873262,0.8327274641202371
19,rbf,1,0.01,scale,5,"['rdvi_skewness', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.8713361176121455,0.0761460253516236,0.8342730088193034,0.0916472972013913,0.8320574073329305
3,rbf,1,0.0001,scale,5,"['rdvi_skewness', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.8653790607797166,0.07788883736066121,0.8338598640995994,0.091761460948193,0.8316387392880967
11,rbf,1,0.001,scale,5,"['rdvi_skewness', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.8654950836568523,0.07785526593036791,0.8323239744659044,0.09218463157999042,0.8300823163705289
10,rbf,1,0.001,scale,6,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9022807355231138,0.06636040193592287,0.8305526892207452,0.09267025948756462,0.8278269952135722
18,rbf,1,0.01,scale,6,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9050209958743898,0.06542334104025059,0.830251405959791,0.0927526083846369,0.8275208655730852
2,rbf,1,0.0001,scale,6,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9020166272770929,0.06645001836529676,0.8298888059097398,0.0928516199829462,0.827152432814454
14,rbf,1,0.001,scale,2,"['rdvi_skewness', 'tex_mean_q3_1']",0.7694426259073521,0.10193150151429232,0.82761685607525,0.0934696114368882,0.8267023566379834
6,rbf,1,0.0001,scale,2,"['rdvi_skewness', 'tex_mean_q3_1']",0.7694669503817733,0.10192612433732871,0.8273438142627445,0.0935436065319411,0.8264278663277989
35,rbf,10,0.0001,scale,5,"['rdvi_skewness', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1']",0.9053702697713734,0.06530293700016718,0.822742180841087,0.09478197186601425,0.8203724239004597
43,rbf,10,0.001,scale,5,"['rdvi_skewness', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1']",0.9058661822494669,0.0651316003545235,0.8225501696049524,0.09483329337568847,0.8201778456691897
21,rbf,1,0.01,scale,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.8010484323690774,0.09468748815684541,0.8205496402306297,0.09536635975161042,0.8191178554452359
5,rbf,1,0.0001,scale,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.7972946051072629,0.09557659774009375,0.820226274366733,0.095452245189199,0.8187919095345527
13,rbf,1,0.001,scale,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.7973005392785826,0.09557519873426946,0.8196929298474833,0.09559373201930384,0.8182543096069047
51,rbf,10,0.01,scale,5,"['rdvi_skewness', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1']",0.909775412143603,0.06376485354784488,0.8178278990732927,0.09608685353552217,0.8153924431785506
63,rbf,10,0.1,scale,1,['rdvi_skewness'],0.7317738093010994,0.10994348623718725,0.8091172071508209,0.09835726163614043,0.8086122262173575
4,rbf,1,0.0001,scale,4,"['rdvi_skewness', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.8288896255435116,0.08781265010561111,0.8052417227639791,0.0993507158942507,0.8031643011401282
12,rbf,1,0.001,scale,4,"['rdvi_skewness', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.8282727905081906,0.08797078543630178,0.8041353242992222,0.09963251600632737,0.8020461010917472
206,linear,10,0.1,scale,4,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.7499309169836801,0.10615706772071248,0.8028652293044882,0.09995503020793092,0.8007624584170694
177,linear,1,0.1,scale,4,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.7499856955755784,0.10614544002745381,0.8024824402092208,0.10005202765710303,0.8003755862381191
235,linear,100,0.1,scale,4,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.7500324837549375,0.10613550742725202,0.801906715695345,0.10019773746440461,0.799793720662762
234,linear,100,0.1,scale,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.7540723128905206,0.10527436386060601,0.7983319555420741,0.10109777143236186,0.7956358586910324
205,linear,10,0.1,scale,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.7540621223118417,0.10527654498056668,0.7983094443863017,0.10110341378432923,0.7956130465839795
176,linear,1,0.1,scale,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.7540406817289687,0.10528113382494432,0.7983025882881681,0.10110513218168733,0.79560609882678
236,linear,100,0.1,scale,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_homo_kurtosis_4']",0.7379651797605378,0.10866718479608418,0.7972226365383419,0.10137544526059689,0.7956047320426372
178,linear,1,0.1,scale,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_homo_kurtosis_4']",0.7379751868649354,0.1086651097774962,0.797163695627775,0.10139017749405897,0.7955453208588477
207,linear,10,0.1,scale,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_homo_kurtosis_4']",0.737957248284533,0.10866882939554225,0.7970576405141875,0.10141668049513251,0.7954384195608433
20,rbf,1,0.01,scale,4,"['rdvi_skewness', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.829939932230207,0.08754273023257447,0.7971129561359385,0.10140285807512209,0.7949488276680552
31,rbf,1,0.1,scale,1,['rdvi_skewness'],0.7155380229687192,0.11322205291868906,0.7950030181653496,0.10192876735338832,0.7944606981075859
93,rbf,100,0.1,scale,3,"['rdvi_skewness', 'ref_q3_3', 'tex_mean_q3_1']",0.8202952625624225,0.08999091679027067,0.7958029697044933,0.10172969667714317,0.7941737380797951
34,rbf,10,0.0001,scale,6,"['rdvi_skewness', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9266307703540609,0.057501065553205374,0.7973357864095179,0.10134715753909006,0.7940757722498855
30,rbf,1,0.1,scale,2,"['rdvi_skewness', 'tex_homo_cv_4']",0.7487195997467454,0.10641386584285385,0.794924638940023,0.10194825138250324,0.7938367059901027
42,rbf,10,0.001,scale,6,"['rdvi_skewness', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9269980174105011,0.057356975253156396,0.7963068613475368,0.10160410129824109,0.7930302961145212
62,rbf,10,0.1,scale,2,"['rdvi_skewness', 'tex_cont_q3_4']",0.7437309175317544,0.10746499432698778,0.7916461848666257,0.10275992232349822,0.7905408595874036
1,rbf,1,0.0001,scale,7,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9097265349784585,0.06378212280544017,0.7936264185557016,0.10227043171854469,0.7897430447113196
9,rbf,1,0.001,scale,7,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9104266174628771,0.06353432210189612,0.7931527066369777,0.10238774070909512,0.7892604188586413
232,linear,100,0.1,scale,7,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.7568727810129922,0.1046732489249118,0.7930297585283744,0.10241816534944588,0.78913515721036
233,linear,100,0.1,scale,6,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.7581743570939692,0.10439268999138829,0.7914682517007047,0.10280379120169905,0.7881138536047374
175,linear,1,0.1,scale,6,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.7582344081438085,0.10437972759463596,0.7912133450489425,0.10286660505864752,0.7878548465778799
204,linear,10,0.1,scale,6,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.758276708279972,0.10437059587783346,0.7911882630713486,0.10287278366331064,0.7878293611368394
174,linear,1,0.1,scale,7,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.7568581455873918,0.10467639936298227,0.7913624803739194,0.1028298599298314,0.7874365055422459
203,linear,10,0.1,scale,7,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.7568201779734907,0.10468457187196042,0.7912306513259626,0.10286234167587506,0.7873021958401608
173,linear,1,0.1,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7573480067145568,0.10457089973146906,0.7914174545130934,0.10281631165848508,0.786919717683187
202,linear,10,0.1,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7573732067300256,0.1045654696159435,0.7913233798735118,0.1028394950870802,0.7868236144799486
231,linear,100,0.1,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7574413128636818,0.10455079265140832,0.7909467440571644,0.10293225961387557,0.7864388571365641
50,rbf,10,0.01,scale,6,"['rdvi_skewness', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9293871221204278,0.05641061948331516,0.7893969129691871,0.10331310285594003,0.7860091957515333
16,rbf,1,0.01,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9209171608069052,0.0596980354410698,0.7900794010232485,0.10314556690820993,0.7855528112879007
