,hidden_layer_sizes,activation,solver,alpha,learning_rate,max_iter,random_state,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
311,"(150, 100, 50, 25, 10, 5)",tanh,adam,0.001,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7904135380250609,0.09718528807122397,0.8211977910094067,0.09519397866688076,0.8173422177697174
309,"(150, 100, 50, 25, 10, 5)",tanh,adam,0.001,constant,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7904135380250609,0.09718528807122397,0.8211977910094067,0.09519397866688076,0.8173422177697174
300,"(150, 100, 50, 25, 10, 5)",tanh,adam,0.0001,constant,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7904197429106264,0.09718384945718204,0.82118997552347,0.09519605911956629,0.817334233755782
302,"(150, 100, 50, 25, 10, 5)",tanh,adam,0.0001,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7904197429106264,0.09718384945718204,0.82118997552347,0.09519605911956629,0.817334233755782
301,"(150, 100, 50, 25, 10, 5)",tanh,adam,0.0001,constant,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7904197429106264,0.09718384945718204,0.82118997552347,0.09519605911956629,0.817334233755782
303,"(150, 100, 50, 25, 10, 5)",tanh,adam,0.0001,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7904197429106264,0.09718384945718204,0.82118997552347,0.09519605911956629,0.817334233755782
206,"(100, 50, 25, 10)",relu,adam,0.005,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8147847584863529,0.09136024893309842,0.8192348722681227,0.0957150796153502,0.8153369719396726
207,"(100, 50, 25, 10)",relu,adam,0.005,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8147847584863529,0.09136024893309842,0.8192348722681227,0.0957150796153502,0.8153369719396726
205,"(100, 50, 25, 10)",relu,adam,0.005,constant,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8147847584863529,0.09136024893309842,0.8192348722681227,0.0957150796153502,0.8153369719396726
204,"(100, 50, 25, 10)",relu,adam,0.005,constant,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8147847584863529,0.09136024893309842,0.8192348722681227,0.0957150796153502,0.8153369719396726
209,"(100, 50, 25, 10)",relu,adam,0.001,constant,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8144098948553793,0.09145265580827881,0.8173012280098121,0.09622564987549903,0.8133616318482986
210,"(100, 50, 25, 10)",relu,adam,0.001,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8144098948553793,0.09145265580827881,0.8173012280098121,0.09622564987549903,0.8133616318482986
208,"(100, 50, 25, 10)",relu,adam,0.001,constant,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8144098948553793,0.09145265580827881,0.8173012280098121,0.09622564987549903,0.8133616318482986
211,"(100, 50, 25, 10)",relu,adam,0.001,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8144098948553793,0.09145265580827881,0.8173012280098121,0.09622564987549903,0.8133616318482986
203,"(100, 50, 25, 10)",relu,adam,0.0001,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.814244096957553,0.09149349654484046,0.816956964629967,0.09631626727896458,0.8130099449993464
