,n_estimators,learning_rate,max_depth,objective,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
690,1000,0.1,2,reg:squarederror,6,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9949624527484131,0.015067058674395235,0.8020456447182649,0.10016259539644325,0.7988613923544836
581,500,0.2,3,reg:squarederror,3,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_kurtosis_4']",0.999290304117247,0.005655292288762133,0.7992445689146759,0.10086876193446759,0.7976427968581441
731,1000,0.15,2,reg:squarederror,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1']",0.9984651762052448,0.008316645212155221,0.8000395978751069,0.10066883424260249,0.7973663304670201
32,50,0.05,7,reg:squarederror,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.956837773657923,0.04410327416074098,0.8010918914957481,0.10040359945745607,0.7968027678622333
348,100,0.15,4,reg:squarederror,4,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.9857540719593184,0.025337530603708545,0.79872827885587,0.10099838258609349,0.7965813804969993
650,1000,0.07,2,reg:squarederror,6,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9886353745388492,0.022630621280072424,0.7996277777152958,0.10077244508610388,0.7964046320485177
509,500,0.1,4,reg:squarederror,3,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_kurtosis_4']",0.9992600662068915,0.0057745127448731275,0.7977354003114923,0.10124718992161773,0.7961215870161052
31,50,0.05,4,reg:squarederror,1,['rdvi_skewness'],0.8334783841868938,0.08662718884944819,0.7957263340606512,0.10174878458810073,0.7951859275370021
781,1000,0.2,3,reg:squarederror,3,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_kurtosis_4']",0.9998256086294484,0.002803376371479632,0.7968039241655431,0.10148005571354118,0.7951826788796299
669,1000,0.07,4,reg:squarederror,3,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_kurtosis_4']",0.999825760815704,0.0028021528921580914,0.7967704167985492,0.10148842248265068,0.7951489041666228
771,1000,0.2,2,reg:squarederror,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1']",0.999429759822038,0.0050692979743440746,0.7978237621998197,0.10122507193803773,0.7951208713201381
33,50,0.05,7,reg:squarederror,7,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9555085430352923,0.0447772303300465,0.7981561949215221,0.10114181692604055,0.794358058804454
547,500,0.15,4,reg:squarederror,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9999241379200314,0.001848976051444463,0.7969753786458691,0.10143723283419581,0.7942611457400652
747,1000,0.15,4,reg:squarederror,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9999241379200314,0.001848976051444463,0.7969753786458691,0.10143723283419581,0.7942611457400652
730,1000,0.15,2,reg:squarederror,6,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9985917623228514,0.007966304321570507,0.7973395451611144,0.10134621770726243,0.7940795914639741
156,50,0.15,7,reg:squarederror,4,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_mean_q3_1']",0.9968847204339512,0.011848610587617466,0.7957858477439796,0.10173396161511943,0.7936075634532488
